web-scraper-order,web-scraper-start-url,Name_Reviewer,Assesment_Rating,Room_Type,Comments,Date_Review
"1713977182-31","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Hasan from Bangladesh","9.2","Deluxe Two Bedroom Suite","its a value for money for my trip, excellent room with dining table, small kitchen facilities and a washing machine was there,  it was a 2 bed room suits. enjoyed a lot, service from Quasim & Hasan was excellent, they actually maintain the guest services there","Reviewed April 17, 2024"
"1713977182-32","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Fanny from Indonesia","9.6","Premier Two-Bedroom Apartment","Lokasi sangat strategis, staff nya ramah dan good respon, good view. Next time holiday ke KL bakal tinggal disini lagi. Thankyou Mr. Qasim for your amazing hospitality😍🙏🏻","Reviewed April 16, 2024"
"1713977182-33","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Minah from Indonesia","10.0","Deluxe Two Bedroom Suite","Excellent","Reviewed April 15, 2024"
"1713977182-34","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","010_Fauzan from Indonesia","10.0","Deluxe Two Bedroom Suite","Good","Reviewed April 14, 2024"
"1713977182-35","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Christina from Singapore","8.8","Deluxe Suite","The host is very friendly and helpful.  Good place to stay.","Reviewed April 14, 2024"
"1713977182-36","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Hadiamin from Indonesia","9.2","Signature Suite","Qasim is very helpfull person from beginning until the end","Reviewed April 13, 2024"
"1713977182-37","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Hadiamin from Indonesia","8.8","Superior Queen Room","Qasim is very helpful person","Reviewed April 13, 2024"
"1713977182-38","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","WIYANFANG from Indonesia","10.0","Superior Queen Room","The staff qasim is friendly and helpful. Thank you and will come back again 😊","Reviewed April 13, 2024"
"1713977182-39","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","anita from Indonesia","10.0","Deluxe Two Bedroom Suite","The staff qasim is friendly and helpful. Thank you and will come back again 😊","Reviewed April 12, 2024"
"1713977182-40","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Saan from Singapore","7.6","Superior Queen Room","The place not bad just neighbourhood too noisy and kids screaming night time","Reviewed April 11, 2024"
"1713977182-41","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Amit from India","5.2","Superior Queen Room","Not very good","Reviewed April 11, 2024"
"1713977182-42","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Mary from Philippines","10.0","Deluxe Two Bedroom Suite","Nice & clean place!!","Reviewed April 10, 2024"
"1713977182-43","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Angela from Australia","9.6","Deluxe Suite","Great view, pool, location","Reviewed April 09, 2024"
"1713977182-44","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","MEE from Brunei Darussalam","8.0","Deluxe Two Bedroom Suite","Good location.  Nice place and clean as it is new. Qasim was nice and assisted in smooth check in process.","Reviewed April 09, 2024"
"1713977182-45","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","marrisa from Indonesia","9.2","Deluxe Two Bedroom Suite","Location is top notch. There is a 24hr nasi lemak shop just in the front, the name is Kak Maria. They serve the best food 10 out of 10! Also there is a 7Eleven just accross the street. Within 2-5minutes walk, you can find Plaza Sungei Wang, I Setan Japan Store, KL Pavillion Mal. Alor street is also not that far, only 10mins walk.

Room is clean and the view is superb. I got the 33rd floor and I can see from my window KL Tower and Petronas at the same time!

Check in was a bit late though, since the staffs were quite buisy with other guests. I waited for 20minutes to get into my room. But thats not a big deal really. Overall my stay was great.","Reviewed April 08, 2024"
"1713977182-46","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Sania from Australia","5.6","Deluxe Suite","The location was excellent and the room amenities was great. However, we had a problem with the staff who demanded extra fees for late check in which it did not state on the booking. His reply to the question was rather rude as he told us to go find another accommodation instead at 1 am in the morning when we arrived in Kuala Lumpur. We understand their situation as they dont get paid for working over 12 am. However, we only wished it was stated so we can prepare cash/ change our flight to an earlier time.","Reviewed April 06, 2024"
"1713977182-47","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","HJ from Brunei Darussalam","9.2","Deluxe Suite","Qasim is very helpful from the very beginning... enjoyed my stay there.. on the 43rd floor, we gain a very nice view of the city... will definitely book this place for our future stay...","Reviewed April 05, 2024"
"1713977182-48","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Nurul from Malaysia","9.2","Superior Queen Room","The view from level 35 is really nice. I love it. Qasim is friendly and helpful. Looking forward staying here in future. Near with 2 big shopping mall trx and time square. Room is very secure. Worth every penny 🤑😍","Reviewed April 05, 2024"
"1713977182-49","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Christian from Australia","7.6","Superior Queen Room","This is not a hotel or a serviced apartment but rather a room within. residential apartment complex with a lot of them being Airbnb'd out. So there is no check in service, room service, cleaning etc. However we did get a man who must've been working for the owner who was really helpful (shoutout to Azim). Centrally located and right near the main shopping drag and a major train station. the room is small but its all you need","Reviewed April 04, 2024"
"1713977182-50","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Shareena from Australia","6.4","Deluxe Two Bedroom Suite","I would highly recommend the area, as there are a lot of nearby restaurants/bars. The unit I got was tidy, but very dusty, and the worst part is the water heater where it wasn’t working! The lobby area and inside the elevators were very warm, as there were no AC turned on.","Reviewed April 02, 2024"
"1713977182-51","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","June from Singapore","5.6","Superior Queen Room","Location is about the only good thing about Axon. Check in and out process is chaotic and.. casual; some dude rocks up and claims to be the guy helping you with check in, collects 300 RM deposit in cash with a WhatsApp photo as proof of receipt that’s it. Room is frill-less (w a decent view).  It’s strange because while I’d describe it as minimal amenities, on the other hand there were like 3 kettles to be found. No concierge save for 2 security guards who got us to fill up a registration form and took a photo of our passports. No cleaning services provided for our 2 nights stay.","Reviewed April 01, 2024"
"1713977182-52","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Claudia from Singapore","3.2","Superior Queen Room","This is by far the worst place that i had stayed for my holiday. No receptionist, only security at the counter whom are not helpful at all! U have to contact the agent via agoda and get them to come over to assist with the check-in.  Same goes to check out and the agent let us waited for quite some time. Luckily we did not place any deposit and therefore we just leave the room card on the table and left without waiting any further. No amenities at all except for shower gel and shampoo only. Our first and last time and for sure not going to come back here  anymore!","Reviewed March 31, 2024"
"1713977182-53","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Athaaullah from Brunei Darussalam","2.8","Deluxe Two Bedroom Suite","-check in took 3hrs and there’s no proper reception, few indian men walking ard checking in random ppl
-rooms were dirty, bedsheets were not changed, towels were wet and used, food crumbs all over the floor, aircon was leaking
-elevator takes forever and it’s always full
Very very disappointing experience and AVOID this place if you can","Reviewed March 30, 2024"
"1713977182-54","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Chee from Singapore","2.4","Superior Queen Room","It's a residence with certain rooms for tourists. 1 ten feet reception table but only security sitting there. Staff without uniform using a writing board to check in.  and collect RM300 deposit with no receipt, only take photo.  no concierge to keep luggage.  Can imagine how messy it was during check in and check out time.  When come to Check-out, it is the worst. need to call the staff to come over from don't know where to return deposit. waited 20 minutes. No amenities at all except liquid hand soap, shower gel and shampoo. No bottle water. No daily cleaning and tidy up of room and change towel. You will regret if you stay here. Lastly, the price is same as the nearby proper hotel.","Reviewed March 25, 2024"
"1713977182-55","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Handy from Indonesia","5.2","Deluxe Two Bedroom Suite","No p,ace to keep luggage, better stay at hotel, security is so rude, no staff helping","Reviewed March 22, 2024"
"1713977182-56","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Chai from Malaysia","7.2","Deluxe Two-Bedroom Suite with City View","The location is good which is walking distance to bukit bintang area..no free parking and you need to pay RM20 per night for the access card  (it added up the cost of stay which personally think not worth) the room overall is clean but only provide one roll toilet paper..long waiting time at lift especially during noon time..don’t like the most is you have to personally contact the owner at WhatsApp for check in details and meet the staff at lobby for check in and pay additional deposit RM300..and you need to inform your time to meet again when check out to return the key and get back the deposit..hopefully they can provide a better check in and out method..","Reviewed March 21, 2024"
"1713977182-57","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Saga from Sweden","7.2","Superior Queen Room","Good: Great location! The swimming pool had a really nice view. Sound-proofed room.  Provided toiletries. 
Bad: Quite complicated check in process. On top of that the  staff member at check in was quite unwelcoming. Would be helpful if the staff had some sort of authorization.  No fridge in the room. 

To summarize, we had a great stay.","Reviewed March 16, 2024"
"1713977182-58","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Diola from Indonesia","3.2","Superior Queen Room","Dirty, no amenities, horrible host, horrible bedsheets.  The location is the only this worth it, everything else was horrible. Please don’t book this accommodation, you will regret it.","Reviewed March 15, 2024"
"1713977182-59","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Pg from Brunei Darussalam","4.4","Superior Queen Room","Hotel is good but toilets amenities not provided. 
Coffee and tea and mineral water not provided as complementary. We paid higher cost.
Air conditioning not cooling.","Reviewed March 01, 2024"
"1713977182-60","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Kurnia from Indonesia","10.0","Deluxe Two Bedroom Suite","Location near Bukit Bintang & Mall , Apartment Very New Design","Reviewed February 25, 2024"
"1713977182-61","https://www.agoda.com/axon-suites-bintang-kuala-lumpur/hotel/kuala-lumpur-my.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891460&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-05-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=IDR&isFreeOccSearch=false&tag=f71b0106-fb42-0cf2-b13e-84355fbe83c7&isCityHaveAsq=false&tspTypes=16&los=1&searchrequestid=426665c7-42bb-44ce-b63e-2d08ee8810ad&ds=WxlrEQ8gfdnauYc%2F","Izuan from Singapore","6.4","Premier Two-Bedroom Apartment","The service need to be more polite n friendly. Then the guide need to be informed clearly and properly. It's hard for me when we come the place, we don't know who n where to inform our booking. People will assume just like a scam. But everything going well.","Reviewed February 24, 2024"
